entry_date,symbol,entry_price,shares,investment_amount,probability,darvas_breakout_up,feature_RSI_14,feature_VOL_20,feature_NORM_ATR,feature_volume_ratio,feature_darvas_high,feature_darvas_low,feature_ema_9_21_diff,feature_ema_50_200_diff,feature_NORM_BB
02-01-2019,NSE:CAPLIPOINT-EQ,382.75,130,49757.5,,0,27.73109244,0.010732789,0.019044509,0.845868825,489.75,398.85,-0.015455958,-0.148041991,0.261069731
02-01-2019,NSE:RAJESHEXPO-EQ,572.45,78,44651.1,,0,56.98924731,0.002571421,0.01462386,1.254700477,784.8,542.05,-4.23E-06,-0.084323609,0.85550656
08-01-2019,NSE:RAJESHEXPO-EQ,571.25,80,45700,,0,54.00843882,0.003444471,0.017480463,0.670056776,604.95,562,0.001163753,-0.082490839,0.489596324
14-01-2019,NSE:GODREJAGRO-EQ,494.6,103,50943.8,,0,39.56228956,0.005982836,0.011871065,0.673160374,660,590.55,-0.00525973,-0.101291093,0.192044364
17-01-2019,NSE:COALINDIA-EQ,232.05,318,73791.9,,0,22.95514512,0.010337008,0.014298027,0.56111748,289.2,247.2,-0.01867164,-0.079516241,0.271793316
18-01-2019,NSE:CIPLA-EQ,509.4,55,28017,,0,36.08815427,0.006550481,0.014716193,0.963650969,678.45,612.6,-0.007011216,-0.084737675,0.178534283
22-01-2019,NSE:BBL-EQ,553.15,123,68037.45,,0,24.68612425,0.010039904,0.019365711,0.694846195,617,557.17,-0.009247109,-0.066774705,-0.000135137
24-01-2019,NSE:BBL-EQ,532.3,94,50036.2,,0,20.52192923,0.01089551,0.021750624,2.686304424,617,557.17,-0.01649448,-0.071807322,-0.158307149
24-01-2019,NSE:COALINDIA-EQ,223.85,204,45665.4,,0,12.46290801,0.008644968,0.01329015,0.782926216,289.2,247.2,-0.021732357,-0.090046167,0.023993523
28-01-2019,NSE:HAL-EQ,366.4,138,50563.2,,0,14.8175726,0.011529163,0.019327043,0.258019384,474,382.5,-0.017629668,-0.128196562,-0.036435818
28-01-2019,NSE:CHOLAFIN-EQ,225.67,204,46036.68,,0,24.51751251,0.011182608,0.026910343,0.584440207,277.98,243.6,-0.021528772,-0.081953952,0.042892989
30-01-2019,NSE:MARICO-EQ,365.9,133,48664.7,,0,9.230769231,0.009009592,0.020575489,1.262235013,396.6,360.65,-0.007591879,0.058101177,0.052661106
04-02-2019,NSE:GABRIEL-EQ,146.6,482,70661.2,,0,56.69642857,0.006083908,0.020975443,0.687534959,143.65,118.35,0.009159808,-0.008986826,0.892308279
08-02-2019,NSE:HDFCBANK-EQ,530.66,91,48290.06,,0,43.98567119,0.008588783,0.014122575,1.155242525,539.85,517.25,0.001148257,0.029839549,0.651573778
13-02-2019,NSE:JAIBALAJI-EQ,2.58,24973,64430.34,,0,20.51282051,0.036637122,0.093300111,2.618636572,4.36,3.47,-0.103695278,0.139561792,-0.007227114
18-02-2019,NSE:APOLLOHOSP-EQ,1116.85,50,55842.5,,0,24.12963487,0.02908319,0.047307798,1.257602257,1387.25,1090,-0.044379747,0.063550525,0.078898478
19-02-2019,NSE:LTTS-EQ,1415.6,32,45299.2,,0,19.22034919,0.016794874,0.032553082,2.032283851,1757.65,1503,-0.037321976,0.067154761,-0.013478542
11-03-2019,NSE:DBREALTY-EQ,20.85,3916,81648.6,,0,49.65986395,0.030947666,0.057382665,0.682635363,34.6,24.1,-0.034345355,-0.293418107,0.331904518
14-03-2019,NSE:IGARASHI-EQ,388.15,73,28334.95,,0,46.6523835,0.022615589,0.042886587,0.604937452,711.9,582,-0.034460654,-0.307496366,0.261286258
25-03-2019,NSE:HEG-EQ,402.09,66,26537.94,,0,43.00326989,0.025328835,0.040067433,0.550152467,991,770,-0.033303137,-0.305492434,0.057959448
01-04-2019,NSE:IMAGICAA-EQ,8.4,10182,85528.8,,0,42.85714286,0.044559014,0.070153061,0.495848751,38.7,31,-0.040344806,-1.283796353,0.194215446
02-04-2019,NSE:OPTIEMUS-EQ,101.4,202,20482.8,,0,50.4076087,0.029221478,0.053782756,0.801422919,125.2,95.55,-0.024346949,-0.313762082,0.744012086
08-04-2019,NSE:JAIBALAJI-EQ,7.57,12975,98220.75,,0,86.84931507,0.029426444,0.04397056,0.316817911,4.36,3.47,0.1194964,0.151872412,1.005804543
10-04-2019,NSE:IMAGICAA-EQ,8.95,10304,92220.8,,0,36.22047244,0.051247114,0.076616121,0.448528989,38.7,31,-0.014858585,-1.13391786,0.327896242
22-04-2019,NSE:IDEA-EQ,17.15,1144,19619.6,,0,44.02173913,0.043350468,0.060183257,0.646935073,21.35,14.9,-0.018871523,-0.379162113,0.503526033
30-04-2019,NSE:FDC-EQ,172.75,359,62017.25,,0,55.6802244,0.022710162,0.04050031,4.839326829,185.85,161.6,-0.00603053,-0.121621477,1.064605216
30-04-2019,NSE:ZEEL-EQ,432.6,95,41097,,0,62.45572609,0.021830658,0.03089294,1.230784936,488.95,414.05,-0.004708742,-0.075855683,0.883848692
03-05-2019,NSE:JKIL-EQ,132.45,298,39470.1,,0,28.31858407,0.024680631,0.055492639,1.493598759,177.4,150.05,-0.054540746,-0.17758169,0.337311658
15-05-2019,NSE:TIMETECHNO-EQ,79.7,707,56347.9,,0,22.04007286,0.027548675,0.0513981,8.242194715,108.7,97.25,-0.070268692,-0.228843326,0.206416837
21-05-2019,NSE:GANESHHOU-EQ,56.6,1269,71825.4,,0,44.26229508,0.029373478,0.047892479,1.288445456,72.6,50.5,-0.03651585,-0.223772701,0.488592279
23-05-2019,NSE:TIMETECHNO-EQ,85.8,638,54740.4,,0,47.73371105,0.042362029,0.066183816,0.896016418,108.7,97.25,-0.023167777,-0.214946682,0.534787654
29-05-2019,NSE:SPARC-EQ,152.1,531,80765.1,,0,44.90413724,0.029161975,0.056776557,1.17347905,203.9,178.95,-0.028609505,-0.410492793,0.463362235
30-05-2019,NSE:STLTECH-EQ,177.25,200,35450,,0,46.38386648,0.043273016,0.058311505,0.753696043,279.8,188.7,-0.027590286,-0.329644114,0.56484409
06-06-2019,NSE:ZYDUSLIFE-EQ,245.7,284,69778.8,,0,41.4893617,0.0257341,0.043636258,0.597612059,352.6,320.5,-0.04533813,-0.185484772,0.248962083
19-06-2019,NSE:OPTIEMUS-EQ,49.8,793,39491.4,,0,9.308283518,0.058355154,0.168387837,0.524320057,127.9,105.1,-0.335033259,-0.601043429,0.172483898
24-06-2019,NSE:ARVIND-EQ,62.5,1001,62562.5,,0,27.08333333,0.039825641,0.063371429,1.288982707,96.6,84.4,-0.066719183,-1.237394596,0.07455617
05-07-2019,NSE:TEJASNET-EQ,138.4,572,79164.8,,0,17.37089202,0.017256855,0.047404005,1.564610026,206,170,-0.068111709,-0.270061769,0.21274862
09-07-2019,NSE:OPTIEMUS-EQ,61.65,639,39394.35,,0,75.70498915,0.038179591,0.052774881,2.107693869,127.9,105.1,-0.044260909,-0.591264886,0.825799468
11-07-2019,NSE:REFEX-EQ,24.23,3141,76106.43,,0,85,0.042457547,0.047579742,0.410821075,10.25,7.45,0.110716136,0.241165887,1.051144857
15-07-2019,NSE:TEJASNET-EQ,137.45,524,72023.8,,0,36.69871795,0.019721773,0.047471808,2.729934583,206,170,-0.057259882,-0.290957581,0.368261515
15-07-2019,NSE:REFEX-EQ,24.17,1988,48049.96,,0,85.02269289,0.039206315,0.052160293,1.517866375,10.25,7.45,0.123077437,0.261259015,0.892037465
17-07-2019,NSE:AURIONPRO-EQ,53.88,827,44558.76,,0,41.72517553,0.017180408,0.041852264,1.260709358,79.38,58.93,-0.035259342,-0.171909695,0.403376779
22-07-2019,NSE:MAHSCOOTER-EQ,3899.1,10,38991,,0,17.03747073,0.019901785,0.041064421,1.540032771,4786,4130,-0.033601438,0.161264386,0.018287125
24-07-2019,NSE:ACE-EQ,76.65,874,66992.1,,0,9.907834101,0.018400501,0.043425589,0.694348261,115,93.8,-0.069729059,-0.113439992,0.100211495
26-07-2019,NSE:RAIN-EQ,96.85,602,58303.7,,0,49.64705882,0.023605196,0.041817243,2.790783802,147.8,96.5,-0.024610457,-0.297357571,0.642376381
30-07-2019,NSE:HSCL-EQ,82.1,756,62067.6,,0,17.84232365,0.02036645,0.047590047,0.831655373,116.5,99,-0.069703586,-0.177978994,0.213229824
30-07-2019,NSE:TIMETECHNO-EQ,78.8,523,41212.4,,0,23.93736018,0.019584233,0.050625453,1.156160494,103,89,-0.050575872,-0.172514321,0.231015195
01-08-2019,NSE:ASHOKLEY-EQ,34.42,1625,55932.5,,0,18.3109708,0.02306343,0.049078609,2.557161871,47.5,40.2,-0.069972802,-0.169238163,0.117962033
02-08-2019,NSE:NOCIL-EQ,88.8,587,52125.6,,0,24.69959947,0.028767528,0.057593308,1.138995307,141.9,113.25,-0.080738121,-0.283918118,0.250097587
07-08-2019,NSE:GUFICBIO-EQ,53.6,1013,54296.8,,0,10.86419753,0.023045232,0.086420576,1.181048466,93.95,74,-0.087106331,-0.258599484,0.13422232
08-08-2019,NSE:HINDCOPPER-EQ,32.65,1169,38167.85,,0,33.00492611,0.022983569,0.042222708,1.484375989,52.75,47.25,-0.054487692,-0.260907202,0.355428498
16-08-2019,NSE:SHAKTIPUMP-EQ,48.58,740,35949.2,,0,40.53254438,0.037016999,0.059327766,3.262719541,80,64.83,-0.066137341,-0.185848235,0.487182066
21-08-2019,NSE:JKTYRE-EQ,57.2,1005,57486,,0,24.5681382,0.039331003,0.05969031,1.382891428,99.65,89.2,-0.075463077,-0.315950468,0.302808039
05-09-2019,NSE:RAIN-EQ,84.15,633,53266.95,,0,53.58851675,0.020690553,0.039173245,1.098661889,147.8,96.5,-0.018806752,-0.347412298,0.749987176
11-09-2019,NSE:TCPLPACK-EQ,302,239,72178,,0,63.60879454,0.023349059,0.03807947,6.875991362,400,320.25,-0.00854815,-0.212729534,1.205222907
13-09-2019,NSE:CEMPRO-EQ,71.3,495,35293.5,,0,58.69565217,0.024539882,0.048387097,5.428876217,143.85,123.75,-0.023346582,-0.346303536,0.693189356
18-09-2019,NSE:TTML-EQ,3.35,17961,60169.35,,0,86.36363636,0.030693826,0.037313433,0.379841565,5.15,3.3,0.036672667,-0.151542771,1.111042389
20-09-2019,NSE:EDELWEISS-EQ,123.95,488,60487.6,,0,58.19761129,0.05811977,0.049530341,2.487818418,210.5,158.3,-0.030460816,-0.286306872,1.144792203
20-09-2019,NSE:LTF-EQ,99.1,405,40135.5,,0,61.01083032,0.034758731,0.040651578,2.059688236,137.85,106.3,-0.010138035,-0.21310077,1.040167218
24-09-2019,NSE:ASAHIINDIA-EQ,192.35,318,61167.3,,0,62.32394366,0.0270862,0.040086895,5.418782851,248,214.1,-0.006229475,-0.202427195,1.065879855
24-09-2019,NSE:SAREGAMA-EQ,36.62,1109,40611.58,,0,69.27437642,0.031322676,0.051806195,1.927951417,56.5,52.22,-0.026485978,-0.28927498,1.133144046
01-10-2019,NSE:NIACL-EQ,106.1,525,55702.5,,0,44.25956739,0.023313545,0.049346977,1.469442525,219,178,-0.011269283,-0.56403794,0.474369983
07-10-2019,NSE:IGARASHI-EQ,200,196,39200,,0,47.39084132,0.033827054,0.051553571,0.93039614,288.8,203.45,-0.014628779,-0.570848241,0.609851844
14-10-2019,NSE:TIMETECHNO-EQ,58.8,1045,61446,,0,36.43617021,0.027504967,0.050595238,0.529479083,103,89,-0.037763367,-0.362676398,0.325665434
15-10-2019,NSE:TATASTEEL-EQ,34.92,880,30729.6,,0,38.17114094,0.032699678,0.04334397,1.287978139,51.65,44.81,-0.0165989,-0.232403923,0.460692436
22-10-2019,NSE:SPARC-EQ,132.6,445,59007,,0,49.88610478,0.032968483,0.051255117,0.837682622,171.8,113.4,-0.027225856,-0.270182758,0.564493903
31-10-2019,NSE:SOUTHBANK-EQ,10.24,5120,52428.8,,0,74.17582418,0.019622216,0.026855469,2.882114125,11.48,9.09,-0.001138542,-0.213370723,1.197464165
04-11-2019,NSE:GRAVITA-EQ,42.05,1419,59668.95,,0,50.59288538,0.025851057,0.047052828,2.157495908,53.5,39.5,-0.012570712,-0.414935399,0.755506861
04-11-2019,NSE:CIEINDIA-EQ,152.55,259,39510.45,,0,62.06322795,0.022289676,0.045020368,1.875522683,182.7,138.85,-0.006092682,-0.244371593,0.655036974
08-11-2019,NSE:STLTECH-EQ,136.85,427,58434.95,,0,42.32488823,0.044788323,0.06002401,2.426520356,180,133,-0.023724416,-0.307500294,0.501917777
13-11-2019,NSE:RTNPOWER-EQ,1.75,22258,38951.5,,0,90,0.025986181,0.040816327,1.397115713,3.3,2.55,0.052975309,-0.344144722,0.901677867
14-11-2019,NSE:STLTECH-EQ,123.95,416,51563.2,,0,31.98653199,0.045939276,0.056474385,0.995515387,180,133,-0.02974202,-0.337685632,0.152761063
19-11-2019,NSE:CIEINDIA-EQ,147.7,284,41946.8,,0,27.51677852,0.016219365,0.038277396,1.344390308,182.7,138.85,-0.015489047,-0.249319554,0.348952529
02-12-2019,NSE:RTNINDIA-EQ,1.85,22877,42322.45,,0,64.28571429,0.02814328,0.042471042,2.314049001,2.5,1.5,0.040413197,-0.290668396,1.029223353
05-12-2019,NSE:TIMETECHNO-EQ,49.9,1132,56486.8,,0,15.32033426,0.026286175,0.056541655,0.596775035,69.6,50.35,-0.061106121,-0.391436042,0.213621203
06-12-2019,NSE:SOLARA-EQ,409.93,91,37303.63,,0,14.40592393,0.019043999,0.028118041,0.262887409,446.97,310.18,0.00973502,0.059509767,0.483894915
11-12-2019,NSE:OPTIEMUS-EQ,27.8,1897,52736.6,,0,10.11235955,0.042064625,0.099691675,0.618865755,57.95,28.2,-0.139472415,-1.034470451,0.098855305
11-12-2019,NSE:IRB-EQ,6.71,5224,35053.04,,0,9.734513274,0.03810959,0.050457739,1.092098656,9.39,5.62,-0.036880739,-0.373840302,0.174379403
24-12-2019,NSE:IFCI-EQ,6.75,9220,62235,,0,41.17647059,0.021846682,0.037037037,3.376941287,9.35,6.85,-0.027466188,-0.293796453,0.547471913
26-12-2019,NSE:TEJASNET-EQ,82.45,342,28197.9,,0,24.89451477,0.026974365,0.045525427,0.690572869,114,79.15,-0.031407982,-0.463480562,0.37865743
01-01-2020,NSE:IRB-EQ,7.31,4123,30139.13,,0,63.15789474,0.025921143,0.038010553,0.847073504,8.94,6.5,-0.000174582,-0.319603778,0.887290641
03-01-2020,NSE:IFCI-EQ,6.75,10982,74128.5,,0,54.54545455,0.023272582,0.04021164,0.861032089,9.35,6.85,-0.005034857,-0.282517582,0.805591103
06-01-2020,NSE:IRB-EQ,7.5,2817,21127.5,,0,57.07964602,0.026796167,0.038952381,1.141034836,8.94,6.5,0.014842172,-0.299425075,0.858634235
23-01-2020,NSE:TIPSMUSIC-EQ,10.76,7063,75997.88,,0,80.15564202,0.017305312,0.042286245,0.247603563,11.39,7.02,0.057888025,0.130016014,0.878907781
29-01-2020,NSE:IFCI-EQ,6.4,6707,42924.8,,0,10,0.014634306,0.028459821,0.409014058,9.35,6.85,-0.013404076,-0.267541501,0.12513816
01-02-2020,NSE:DIXON-EQ,889.33,61,54249.13,,0,64.69038208,0.024662852,0.034893845,1.279780419,646.4,557.08,0.036417898,0.179304653,0.830699714
03-02-2020,NSE:RELAXO-EQ,720.6,95,68457,,0,76.09860665,0.012979214,0.029499227,1.704515193,629,532,0.037114652,0.158510199,0.758078262
07-02-2020,NSE:RPOWER-EQ,1.7,29782,50629.4,,0,22.22222222,0.030003751,0.052521008,0.046166007,5,3.2,-0.181538651,-2.072150908,0.267052064
13-02-2020,NSE:RPOWER-EQ,1.8,34828,62690.4,,0,35.71428571,0.033219668,0.037698413,0.400857318,5,3.2,-0.112443193,-1.928209075,0.426530773
13-02-2020,NSE:ALKYLAMINE-EQ,619.04,67,41475.68,,0,83.17307692,0.019495955,0.037722003,0.481838584,442.98,400.04,0.055311396,0.170240539,0.930164057
19-02-2020,NSE:TIPSMUSIC-EQ,12.43,4622,57451.46,,0,68.98954704,0.024427776,0.046259051,1.125233011,11.39,7.02,0.048436673,0.181284724,0.781804899
27-02-2020,NSE:ARVIND-EQ,38.6,1618,62454.8,,0,27.82608696,0.019843281,0.026831976,0.567643681,45.25,38,-0.021169981,-0.625421106,0.325238283
27-02-2020,NSE:RPOWER-EQ,1.8,23050,41490,,0,61.53846154,0.027840759,0.043650794,0.344598889,5,3.2,-0.036109577,-1.840570291,0.670663739
28-02-2020,NSE:TIPSMUSIC-EQ,12.23,4742,57994.66,,0,60.69518717,0.025357973,0.047950006,0.532212491,11.39,7.02,0.033246325,0.200303159,0.543947754
03-03-2020,NSE:ARVIND-EQ,37.9,1071,40590.9,,0,46.03174603,0.021870181,0.028741048,0.612235653,45.25,38,-0.021663124,-0.624979472,0.279459724
09-03-2020,NSE:OPTIEMUS-EQ,17.85,2077,37074.45,,0,10.34482759,0.035553615,0.132853141,0.123823342,33.9,26,-0.146708667,-1.279450227,0.129898218
09-03-2020,NSE:RTNINDIA-EQ,2.75,20297,55816.75,,0,71.42857143,0.028869415,0.038961039,0.008423022,2.5,1.5,0.069263373,0.033893355,0.696375009
23-03-2020,NSE:PAISALO-EQ,8.51,4505,38337.55,,0,18.69918699,0.030698377,0.06622461,0.017927526,24.45,20.62,-0.148351721,-0.479950331,0.225564287
31-03-2020,NSE:SUZLON-EQ,1.7,30854,52451.8,,0,28.76712329,0.037060299,0.045378151,0.168656149,2.62,1.57,-0.076832138,-0.474657476,0.374405601
31-03-2020,NSE:INGERRAND-EQ,617.6,56,34585.6,,0,39.86880466,0.008608393,0.019771234,0.241344235,688,636.05,-0.010797296,0.006210825,0.442656914
20-04-2020,NSE:HCC-EQ,5.35,11458,61300.3,,0,92.10526316,0.047404104,0.036715621,0.277455535,12.2,8.75,-0.040286377,-0.500779771,0.968971611
22-04-2020,NSE:TATACHEM-EQ,249.9,247,61725.3,,0,71.9343696,0.040334064,0.050791745,1.004386355,779.8,294,-0.084127363,-0.685831166,0.791198683
24-04-2020,NSE:LEMONTREE-EQ,17.75,3166,56196.5,,0,25.14619883,0.046535511,0.068008048,0.867545833,63.75,28.75,-0.217095939,-1.033864313,0.294478859
04-05-2020,NSE:IDBI-EQ,20.75,2332,48389,,0,45.2173913,0.030075222,0.046299484,1.74098467,39.9,33.05,-0.011345028,-0.36387321,0.5
11-05-2020,NSE:ELGIEQUIP-EQ,64.2,705,45261,,0,39.78201635,0.027497306,0.035502893,0.025750063,142,125.28,-0.011663931,-0.483833793,0.517622675
14-05-2020,NSE:GPPL-EQ,55.75,1163,64837.25,,0,49.44649446,0.019976462,0.04189622,0.188737313,99.4,69.8,-0.008080755,-0.270251897,0.636194767
15-05-2020,NSE:ELGIEQUIP-EQ,65.18,535,34871.3,,0,59.13621262,0.013369648,0.032174637,0.232267102,142,125.28,-0.003637999,-0.47481316,0.741410604
22-05-2020,NSE:INGERRAND-EQ,627,106,66462,,0,55.40166205,0.002569942,0.008549784,0.165762221,643.5,623.1,-0.000578702,0.000689992,0.542473115
27-05-2020,NSE:IOB-EQ,7.35,5132,37720.2,,0,48.27586207,0.018951327,0.034499514,0.87158313,8.1,7.05,-0.007348399,-0.248740601,0.510957066
03-06-2020,NSE:DISHTV-EQ,4.85,17011,82503.35,,0,50,0.027217068,0.040500736,0.223202831,5.15,4.35,-0.009206428,-1.618350945,0.875990754
12-06-2020,NSE:GILLETTE-EQ,4950.1,14,69301.4,,0,61.03381643,0.010029993,0.023872534,1.261550576,5559,4789,-0.000228953,-0.170363637,0.692657075
01-07-2020,NSE:CGPOWER-EQ,8.95,7038,62990.1,,1,90.90909091,0.028282797,0.03990423,0.083951021,8.8,6.35,0.067792357,-0.521446615,1.125845717
03-07-2020,NSE:WONDERLA-EQ,131.7,771,101540.7,,0,52.69461078,0.017630849,0.045910619,0.823306203,151.1,122.25,0.000895366,-0.418659411,0.304363891
09-07-2020,NSE:TATACHEM-EQ,307.1,230,70633,,0,38.14262023,0.010589402,0.024654603,1.929882551,324.2,293,0.00178629,-0.433509277,0.15887238
14-07-2020,NSE:TATACHEM-EQ,305.65,223,68159.95,,0,40.54726368,0.012140487,0.025601178,1.327688794,324.2,293,-0.005180391,-0.426518585,0.263318348
16-07-2020,NSE:BLUESTARCO-EQ,242.55,358,86832.9,,0,35.25220861,0.011565142,0.024902082,0.271581034,281.4,245.03,-0.014417387,-0.2372922,0.259982544
17-07-2020,NSE:PCJEWELLER-EQ,1.47,39160,57565.2,,0,27.5862069,0.028323246,0.0505345,0.340575335,1.82,1.55,-0.027673256,-0.637877206,0.170202194
22-07-2020,NSE:PCJEWELLER-EQ,1.62,52186,84541.32,,0,42.59259259,0.031689279,0.048059965,1.626039064,1.82,1.55,-0.004430086,-0.556367323,0.560631678
24-07-2020,NSE:LEMONTREE-EQ,24,2629,63096,,0,52.2875817,0.02672384,0.046875,0.187113439,31.85,22.5,-0.00135708,-0.551428846,0.429449705
27-07-2020,NSE:PCJEWELLER-EQ,1.53,50199,76804.47,,0,39.28571429,0.031873964,0.052754435,0.834794971,1.82,1.55,-0.002131714,-0.568097309,0.375329261
10-08-2020,NSE:JPPOWER-EQ,2.8,30230,84644,,0,90.90909091,0.029583673,0.033163265,0.217223104,2.3,1.7,0.088506684,0.116416997,1.029035468
12-08-2020,NSE:PCJEWELLER-EQ,1.67,69521,116100.07,,0,53.84615385,0.033924872,0.061591104,0.710999251,1.82,1.55,0.0232263,-0.44420636,0.750808397
17-08-2020,NSE:UNIONBANK-EQ,29.35,1560,45786,,0,51.61290323,0.015798698,0.029204186,0.943046888,36.55,29.6,-0.006134259,-0.307294019,0.331882016
25-08-2020,NSE:CANBK-EQ,21.34,2238,47758.92,,0,60.79027356,0.015661424,0.02804927,2.086431138,23.66,19.77,0.007956145,-0.299768884,1.069248833
31-08-2020,NSE:UNIONBANK-EQ,30.2,1646,49709.2,,0,45.61403509,0.017754286,0.03204825,1.712228184,36.55,29.6,0.006303897,-0.267667073,0.552327397
01-09-2020,NSE:PCJEWELLER-EQ,1.6,65602,104963.2,,0,40.54054054,0.028096724,0.045535714,0.360223224,1.82,1.55,0.005755682,-0.388757503,0.243395938
08-09-2020,NSE:PNB-EQ,33.65,1573,52931.45,,0,46.49681529,0.024196864,0.040437274,0.348032032,38.75,31.25,0.000899192,-0.241257819,0.343387902
09-09-2020,NSE:RAJESHEXPO-EQ,447.8,208,93142.4,,0,34.4605475,0.012289426,0.025146749,0.417941238,494.9,441,-0.01221391,-0.173450852,0.202443979
21-09-2020,NSE:SHOPERSTOP-EQ,159.91,310,49572.1,,0,40.1576944,0.021351633,0.034680222,0.414071269,188.4,157.16,-0.007543785,-0.372832255,0.210351222
21-09-2020,NSE:THOMASCOOK-EQ,30.2,3404,102800.8,,0,42.33576642,0.030485989,0.045175024,0.491198598,38.9,29.65,-0.019029963,-0.722614243,0.263816037
